,id,comment_text,toxic,severe_toxic,obscene,threat,insult,identity_hate,comment_vect,comment_vect_filtered,comment_vect_numeric
0,0000997932d777bf,"Explanation
Why the edits made under my username Hardcore Metallica Fan were reverted? They weren't vandalisms, just closure on some GAs after I voted at New York Dolls FAC. And please don't remove the template from the talk page since I'm retired now.89.205.38.27",0,0,0,0,0,0,"['Explanation', 'Why', 'the', 'edits', 'made', 'under', 'my', 'username', 'Hardcore', 'Metallica', 'Fan', 'were', 'reverted', '?', 'They', ""weren't"", 'vandalisms', ',', 'just', 'closure', 'on', 'some', 'GAs', 'after', 'I', 'voted', 'at', 'New', 'York', 'Dolls', 'FAC', '.', 'And', 'please', ""don't"", 'remove', 'the', 'template', 'from', 'the', 'talk', 'page', 'since', ""I'm"", 'retired', 'now', '.', '89.205', '.', '38.27']","['<UNK>', '<UNK>', 'edits', '<UNK>', '<UNK>', '<UNK>', '<UNK>', '<UNK>', '<UNK>', '?', '<UNK>', '<UNK>', ',', '<UNK>', '<UNK>', 'i', '<UNK>', '<UNK>', '<UNK>', '<UNK>', '<UNK>', '.', '<UNK>', '<UNK>', '<UNK>', '<UNK>', 'talk', 'page', '<UNK>', ""i'm"", '<UNK>', '.', '<UNK>', '.', '<UNK>']","[83, 83, 36, 83, 83, 83, 83, 83, 83, 25, 83, 83, 61, 83, 83, 39, 83, 83, 83, 83, 83, 48, 83, 83, 83, 83, 19, 26, 83, 69, 83, 48, 83, 48, 83]"
1,000103f0d9cfb60f,"D'aww! He matches this background colour I'm seemingly stuck with. Thanks.  (talk) 21:51, January 11, 2016 (UTC)",0,0,0,0,0,0,"[""D'aww"", '!', 'He', 'matches', 'this', 'background', 'colour', ""I'm"", 'seemingly', 'stuck', 'with', '.', 'Thanks', '.', '(', 'talk', ')', '21:51', ',', 'January', '11', ',', '2016', '(', 'UTC', ')']","['<UNK>', '!', 'he', '<UNK>', '<UNK>', '<UNK>', ""i'm"", '<UNK>', '<UNK>', '.', '<UNK>', '.', '<UNK>', 'talk', '<UNK>', '<UNK>', ',', '<UNK>', '<UNK>', ',', '<UNK>', '<UNK>', '<UNK>', '<UNK>']","[83, 64, 40, 83, 83, 83, 69, 83, 83, 48, 83, 48, 83, 19, 83, 83, 61, 83, 83, 61, 83, 83, 83, 83]"
2,000113f07ec002fd,"Hey man, I'm really not trying to edit war. It's just that this guy is constantly removing relevant information and talking to me through edits instead of my talk page. He seems to care more about the formatting than the actual info.",0,0,0,0,0,0,"['Hey', 'man', ',', ""I'm"", 'really', 'not', 'trying', 'to', 'edit', 'war', '.', ""It's"", 'just', 'that', 'this', 'guy', 'is', 'constantly', 'removing', 'relevant', 'information', 'and', 'talking', 'to', 'me', 'through', 'edits', 'instead', 'of', 'my', 'talk', 'page', '.', 'He', 'seems', 'to', 'care', 'more', 'about', 'the', 'formatting', 'than', 'the', 'actual', 'info', '.']","['<UNK>', '<UNK>', ',', ""i'm"", '<UNK>', 'trying', '<UNK>', '<UNK>', '.', '<UNK>', '<UNK>', '<UNK>', '<UNK>', '<UNK>', '<UNK>', '<UNK>', 'edits', '<UNK>', 'talk', 'page', '.', 'he', '<UNK>', '<UNK>', '<UNK>', '<UNK>', '<UNK>', '.']","[83, 83, 61, 69, 83, 43, 83, 83, 48, 83, 83, 83, 83, 83, 83, 83, 36, 83, 19, 26, 48, 40, 83, 83, 83, 83, 83, 48]"
3,0001b41b1c6bb37e,"""
More
I can't make any real suggestions on improvement - I wondered if the section statistics should be later on, or a subsection of """"types of accidents""""  -I think the references may need tidying so that they are all in the exact same format ie date format etc. I can do that later on, if no-one else does first - if you have any preferences for formatting style on references or want to do it yourself please let me know.

There appears to be a backlog on articles for review so I guess there may be a delay until a reviewer turns up. It's listed in the relevant form eg Wikipedia:Good_article_nominations#Transport  """,0,0,0,0,0,0,"['""', 'More', 'I', ""can't"", 'make', 'any', 'real', 'suggestions', 'on', 'improvement', '-', 'I', 'wondered', 'if', 'the', 'section', 'statistics', 'should', 'be', 'later', 'on', ',', 'or', 'a', 'subsection', 'of', '""', '""', 'types', 'of', 'accidents', '""', '""', '-', 'I', 'think', 'the', 'references', 'may', 'need', 'tidying', 'so', 'that', 'they', 'are', 'all', 'in', 'the', 'exact', 'same', 'format', 'ie', 'date', 'format', 'etc', '.', 'I', 'can', 'do', 'that', 'later', 'on', ',', 'if', 'no-one', 'else', 'does', 'first', '-', 'if', 'you', 'have', 'any', 'preferences', 'for', 'formatting', 'style', 'on', 'references', 'or', 'want', 'to', 'do', 'it', 'yourself', 'please', 'let', 'me', 'know', '.', 'There', 'appears', 'to', 'be', 'a', 'backlog', 'on', 'articles', 'for', 'review', 'so', 'I', 'guess', 'there', 'may', 'be', 'a', 'delay', 'until', 'a', 'reviewer', 'turns', 'up', '.', ""It's"", 'listed', 'in', 'the', 'relevant', 'form', 'eg', 'Wikipedia', ':', 'Good_article_nominations', '#Transport', '""']","['<UNK>', '<UNK>', 'i', '<UNK>', 'make', '<UNK>', '<UNK>', '<UNK>', '-', 'i', '<UNK>', '<UNK>', '<UNK>', '<UNK>', ',', '<UNK>', '<UNK>', '<UNK>', '<UNK>', '<UNK>', '<UNK>', '<UNK>', '-', 'i', 'think', '<UNK>', '<UNK>', '<UNK>', '<UNK>', '<UNK>', '<UNK>', '<UNK>', '<UNK>', '<UNK>', '<UNK>', '.', 'i', '<UNK>', ',', '<UNK>', 'else', '<UNK>', '-', '<UNK>', '<UNK>', '<UNK>', '<UNK>', '<UNK>', '<UNK>', '<UNK>', 'know', '.', '<UNK>', '<UNK>', '<UNK>', '<UNK>', '<UNK>', 'i', '<UNK>', '<UNK>', '<UNK>', '<UNK>', '<UNK>', '.', '<UNK>', '<UNK>', '<UNK>', '<UNK>', '<UNK>', 'wikipedia', '<UNK>', '<UNK>', '<UNK>', '<UNK>']","[83, 83, 39, 83, 51, 83, 83, 83, 78, 39, 83, 83, 83, 83, 61, 83, 83, 83, 83, 83, 83, 83, 78, 39, 71, 83, 83, 83, 83, 83, 83, 83, 83, 83, 83, 48, 39, 83, 61, 83, 29, 83, 78, 83, 83, 83, 83, 83, 83, 83, 68, 48, 83, 83, 83, 83, 83, 39, 83, 83, 83, 83, 83, 48, 83, 83, 83, 83, 83, 66, 83, 83, 83, 83]"
4,0001d958c54c6e35,"You, sir, are my hero. Any chance you remember what page that's on?",0,0,0,0,0,0,"['You', ',', 'sir', ',', 'are', 'my', 'hero', '.', 'Any', 'chance', 'you', 'remember', 'what', 'page', ""that's"", 'on', '?']","['you', ',', '<UNK>', ',', '<UNK>', '.', '<UNK>', '<UNK>', '<UNK>', 'page', '<UNK>', '?']","[77, 61, 83, 61, 83, 48, 83, 83, 83, 26, 83, 25]"
5,00025465d4725e87,"""

Congratulations from me as well, use the tools well.  · talk """,0,0,0,0,0,0,"['""', 'Congratulations', 'from', 'me', 'as', 'well', ',', 'use', 'the', 'tools', 'well', '.', '·', 'talk', '""']","['<UNK>', '<UNK>', 'well', ',', '<UNK>', '<UNK>', 'well', '.', '<UNK>', 'talk', '<UNK>']","[83, 83, 12, 61, 83, 83, 12, 48, 83, 19, 83]"
6,0002bcb3da6cb337,COCKSUCKER BEFORE YOU PISS AROUND ON MY WORK,1,1,1,0,1,0,"['COCKSUCKER', 'BEFORE', 'YOU', 'PISS', 'AROUND', 'ON', 'MY', 'WORK']","['cocksucker', 'before', 'you', 'piss', 'around', 'on', 'my', 'work']","[4, 18, 77, 56, 70, 23, 54, 16]"
7,00031b1e95af7921,"Your vandalism to the Matt Shirvington article has been reverted.  Please don't do it again, or you will be banned.",0,0,0,0,0,0,"['Your', 'vandalism', 'to', 'the', 'Matt', 'Shirvington', 'article', 'has', 'been', 'reverted', '.', 'Please', ""don't"", 'do', 'it', 'again', ',', 'or', 'you', 'will', 'be', 'banned', '.']","['your', '<UNK>', '<UNK>', '<UNK>', '<UNK>', '<UNK>', '.', '<UNK>', ',', '<UNK>', '.']","[14, 83, 83, 83, 83, 83, 48, 83, 61, 83, 48]"
8,00037261f536c51d,"Sorry if the word 'nonsense' was offensive to you. Anyway, I'm not intending to write anything in the article(wow they would jump on me for vandalism), I'm merely requesting that it be more encyclopedic so one can use it for school as a reference. I have been to the selective breeding page but it's almost a stub. It points to 'animal breeding' which is a short messy article that gives you no info. There must be someone around with expertise in eugenics? 93.161.107.169",0,0,0,0,0,0,"['Sorry', 'if', 'the', 'word', ""'"", 'nonsense', ""'"", 'was', 'offensive', 'to', 'you', '.', 'Anyway', ',', ""I'm"", 'not', 'intending', 'to', 'write', 'anything', 'in', 'the', 'article', '(', 'wow', 'they', 'would', 'jump', 'on', 'me', 'for', 'vandalism', ')', ',', ""I'm"", 'merely', 'requesting', 'that', 'it', 'be', 'more', 'encyclopedic', 'so', 'one', 'can', 'use', 'it', 'for', 'school', 'as', 'a', 'reference', '.', 'I', 'have', 'been', 'to', 'the', 'selective', 'breeding', 'page', 'but', ""it's"", 'almost', 'a', 'stub', '.', 'It', 'points', 'to', ""'"", 'animal', 'breeding', ""'"", 'which', 'is', 'a', 'short', 'messy', 'article', 'that', 'gives', 'you', 'no', 'info', '.', 'There', 'must', 'be', 'someone', 'around', 'with', 'expertise', 'in', 'eugenics', '?', '93.161', '.', '107.169']","['sorry', '<UNK>', ""'"", '<UNK>', ""'"", '<UNK>', '.', '<UNK>', ',', ""i'm"", '<UNK>', 'write', '<UNK>', '<UNK>', '<UNK>', '<UNK>', 'would', '<UNK>', '<UNK>', '<UNK>', ',', ""i'm"", '<UNK>', '<UNK>', '<UNK>', 'one', '<UNK>', '<UNK>', '<UNK>', '.', 'i', '<UNK>', '<UNK>', 'page', '<UNK>', '<UNK>', '.', '<UNK>', '<UNK>', ""'"", '<UNK>', '<UNK>', ""'"", '<UNK>', '<UNK>', '<UNK>', '<UNK>', '<UNK>', '.', '<UNK>', '<UNK>', '<UNK>', 'around', '<UNK>', '<UNK>', '?', '<UNK>', '.', '<UNK>']","[10, 83, 30, 83, 30, 83, 48, 83, 61, 69, 83, 37, 83, 83, 83, 83, 35, 83, 83, 83, 61, 69, 83, 83, 83, 45, 83, 83, 83, 48, 39, 83, 83, 26, 83, 83, 48, 83, 83, 30, 83, 83, 30, 83, 83, 83, 83, 83, 48, 83, 83, 83, 70, 83, 83, 25, 83, 48, 83]"
9,00040093b2687caa,alignment on this subject and which are contrary to those of DuLithgow,0,0,0,0,0,0,"['alignment', 'on', 'this', 'subject', 'and', 'which', 'are', 'contrary', 'to', 'those', 'of', 'DuLithgow']","['<UNK>', '<UNK>', '<UNK>', '<UNK>']","[83, 83, 83, 83]"
